

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: August 10, 2013 to August 10, 2015, retrieved on August 11, 2015"
" (731 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 93% of requested data were available from station SHAFTER.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          685           35            0           11            0        "
"                     SHAFTER.A    FAMOSO.A     WASCO.C      SHAFTER.A    "
"Air Temps, max/min     683           38            0           10            0        "
"                     SHAFTER.A    FAMOSO.A     WASCO.C      SHAFTER.A    "
"Soil Temps, max/min    685           36            0           10            0        "
"                     SHAFTER.A    FAMOSO.A     none         SHAFTER.A    "
"Rel. Humidity          678            0            0            0           53        "
"                     SHAFTER.A    none         none         none         "
"ETo                    686            0            0            0           45        "
"                     SHAFTER.A    none         none         none         "
"Solar Radiation        679           36            0           16            0        "
"                     SHAFTER.A    FAMOSO.A     none         SHAFTER.A    "
"Wind Speed & Dir       678            0           35            0           18        "
"                     SHAFTER.A    none         ARVIN.A      none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SHAFTER.A,20130810,2359,0.000,,30.6,15.0,,,0,0,,,28.9,26.7,,304,,,
SHAFTER.A,20130811,2359,0.000,,31.7,15.0,,,0,0,,,28.9,26.7,,306,,,
SHAFTER.A,20130812,2359,0.000,,32.8,15.6,,,0,0,,,28.9,26.7,,306,,,
SHAFTER.A,20130813,2359,0.000,,33.9,15.6,,,0,0,,,29.4,26.7,,308,,,
SHAFTER.A,20130814,2359,0.000,,35.6,16.7,,,0,0,,,29.4,26.7,,308,,,
SHAFTER.A,20130815,2359,0.000,,35.0,16.1,,,0,0,,,29.4,27.8,,303,,,
SHAFTER.A,20130816,2359,0.000,,35.0,18.3,,,0,0,,,30.0,27.2,,293,,,
SHAFTER.A,20130817,2359,0.000,,35.0,18.3,,,0,0,,,30.0,27.8,,293,,,
SHAFTER.A,20130818,2359,0.000,,32.8,16.7,,,0,0,,,30.0,27.8,,218,,,
SHAFTER.A,20130819,2359,0.000,,37.2,19.4,,,0,0,,,30.6,28.3,,286,,,
SHAFTER.A,20130820,2359,0.000,,36.7,20.0,,,0,0,,,30.6,28.3,,288,,,
SHAFTER.A,20130821,2359,0.000,,33.9,17.2,,,0,0,,,30.6,27.8,,278,,,
SHAFTER.A,20130822,2359,0.000,,33.3,16.7,,,0,0,,,30.0,27.2,,287,,,
SHAFTER.A,20130823,2359,0.000,,31.7,16.1,,,0,0,,,29.4,27.8,,289,,,
SHAFTER.A,20130824,2359,0.000,,32.8,15.6,,,0,0,,,29.4,26.7,,284,,,
SHAFTER.A,20130825,2359,0.000,,31.7,15.0,,,0,0,,,28.9,27.2,,286,,,
SHAFTER.A,20130826,2359,0.000,,31.7,15.0,,,0,0,,,28.9,26.7,,281,,,
SHAFTER.A,20130827,2359,0.000,,33.9,17.2,,,0,0,,,28.9,26.1,,252,,,
SHAFTER.A,20130828,2359,0.000,,33.3,16.1,,,0,0,,,29.4,26.7,,273,,,
SHAFTER.A,20130829,2359,0.000,,33.3,16.7,,,0,0,,,29.4,26.7,,270,,,
SHAFTER.A,20130830,2359,0.000,,33.9,17.8,,,0,0,,,29.4,26.7,,265,,,
SHAFTER.A,20130831,2359,0.000,,35.0,20.0,,,0,0,,,30.0,27.2,,239,,,
SHAFTER.A,20130901,2359,0.000,,32.8,20.0,,,0,0,,,30.0,27.8,,216,,,
